,parameters,mean,std,2.5q,25q,50q,75q,97.5q,mc err
0,v(Neutral),0.30498705579646496,0.03540326406229883,0.2429922836780758,0.2804556009152122,0.30221869779397625,0.32739500173143793,0.38115299804431835,0.002013090217683458
1,v(Stressed),0.4270312211838915,0.03988057860072866,0.3523957705192696,0.3987959229372954,0.4263318113989498,0.45463279287031666,0.5054930650417642,0.0026837932130555865
2,v_std,0.2799486710387976,0.022258452987310454,0.24051071345901703,0.2643165193059174,0.27857255476066,0.29345621884030626,0.32707205350342217,0.0014409272780736505
3,v_subj(Neutral).1001,0.2493787561383834,0.19250916274684143,-0.12273161206850852,0.11642482014013256,0.24411165804329527,0.38037488666520325,0.6464710242793124,0.0038358225089520624
4,v_subj(Neutral).1002,-0.0778145300807125,0.12121173873651739,-0.31485669654163995,-0.1585439653271612,-0.07733030634755444,0.0014951850285486734,0.15895573643092564,0.0025890411081987237
5,v_subj(Neutral).1003,-0.16808471411329234,0.11570218178160206,-0.40526050958558363,-0.23978010953707762,-0.16823764993044016,-0.09226215043133384,0.0597846035081504,0.0020327608002666236
6,v_subj(Neutral).1004,0.25901203421870994,0.1329037652563493,0.026944778531841462,0.16829275951843425,0.24911452097274212,0.3387312025227151,0.5490038412268177,0.003883573756689994
7,v_subj(Neutral).1005,0.015807396955132978,0.12101643030348175,-0.20849051119727646,-0.06658760052003465,0.010965138209459047,0.09124674047893583,0.26950454119601763,0.002356319938834932
8,v_subj(Neutral).1006,0.2453242369280659,0.1271272145339491,0.010498102275642976,0.15826190622121744,0.23995855466213034,0.3235249520549841,0.5156686156614982,0.0034219592578903987
9,v_subj(Neutral).1007,0.46228173327518074,0.1668383244107769,0.14937159877785433,0.348635681673386,0.4588205469377006,0.5686253998150087,0.8127531112368604,0.0038228299544394656
10,v_subj(Neutral).1009,0.25729296313515376,0.13285088048143645,0.021649866549804497,0.16524867379204222,0.24992640543858535,0.3357100406610717,0.5491258116922765,0.003908979108029691
11,v_subj(Neutral).1011,0.1545833040252207,0.12715004666703875,-0.08886940053875125,0.07373125806312952,0.15232124178361367,0.23091524426616572,0.42398690619991547,0.0027586844008867374
12,v_subj(Neutral).1012,0.06909130232113013,0.12093576468945408,-0.16428188857190057,-0.010186641577476008,0.06748476081484345,0.14505211249545624,0.311758380892452,0.0025099701212715846
13,v_subj(Neutral).1013,0.4672786263213095,0.13861218184708277,0.22248927451339573,0.37641063564328847,0.45707100434426295,0.5441699643217518,0.7811407945971787,0.003820156077147724
14,v_subj(Neutral).1015,0.3106298479218988,0.14674454803811587,0.04544626840633548,0.21030494127380045,0.3049617063318742,0.3990764754051114,0.6285737143789494,0.0038591256107930044
15,v_subj(Neutral).1017,0.3591867951772432,0.1614806699739335,0.07802594367871868,0.24628521171739703,0.35091920454184883,0.45597377762242686,0.7141222699082694,0.004073631690236926
16,v_subj(Neutral).1018,0.1894211227849687,0.12111867396534742,-0.033574823820690325,0.1077643914974557,0.18566742133941405,0.26361489601755084,0.45395282501395273,0.0030464060811409032
