,parameters,mean,std,2.5q,25q,50q,75q,97.5q,mc err
0,v(Neutral),0.5247204016358432,0.35066188385528113,0.25008751595893236,0.30471473160538115,0.34099927931515256,0.793147683719363,1.3354348359048607,0.0339065862308621
1,v(Stressed),0.646520827580936,0.3383872470532793,0.37226635123714397,0.42725552477577133,0.4666726876915695,0.9856017590736375,1.3775606171260788,0.03309476407871721
2,v_std,0.40398396791415525,0.1831310674638127,0.2503207752422275,0.28345654235675755,0.3061221235025161,0.5967425266447169,0.7907321818719208,0.017902339280301827
3,v_subj(Neutral).1001,0.4705218037107926,0.5105386239068032,-0.13273681022445605,0.16849872157459933,0.3307567204159083,0.5762662228421928,1.8781026452623055,0.034640113515211395
4,v_subj(Neutral).1002,0.049605843942064194,0.45595186157574835,-0.42859478247140337,-0.16292704916770628,-0.06609190102154447,0.058717962256851,1.5188509706343438,0.024803349227237405
5,v_subj(Neutral).1003,-0.06962158284456463,0.44994047151273614,-0.57361056737086,-0.26684125895864835,-0.16163644442707054,-0.0499724275507496,1.4481559963180723,0.021322533664210105
6,v_subj(Neutral).1004,0.4862083858754815,0.4684297761634674,0.025587328369160833,0.2140488045159249,0.32009816410101705,0.5320729992812804,1.8349907367802734,0.03561641243242316
7,v_subj(Neutral).1005,0.18253604578884286,0.4764499329068895,-0.26077637322389313,-0.05915358058040582,0.039139880405393984,0.18499381036270945,1.7617455592451576,0.03033646696002897
8,v_subj(Neutral).1006,0.4910997542785164,0.4983883161168101,0.027858652106605764,0.1995227651527381,0.31087753903714893,0.5311784782037469,1.9621784750406408,0.038296164150380584
9,v_subj(Neutral).1007,0.7573327266120686,0.5531692772859239,0.17791288225204682,0.4051804382334064,0.5580776836051589,0.8812234723186838,2.2604265275200106,0.04542644772691585
10,v_subj(Neutral).1009,0.5403218604221653,0.5431868556557459,0.04138179275088735,0.21364201621781298,0.3299663994365,0.608812924813765,2.056396888060045,0.04384652993634043
11,v_subj(Neutral).1011,0.3238941807622453,0.43276006358545616,-0.08647906324926681,0.09422465994090135,0.1973719086382003,0.3471602835818419,1.6759872325383065,0.028173600273229953
12,v_subj(Neutral).1012,0.22339853642833354,0.447874569313649,-0.20177624210515954,-0.002341047403784491,0.09898385291193734,0.23862096836145374,1.5993701124156605,0.026685632682623132
13,v_subj(Neutral).1013,0.6979088964471809,0.4356402001790822,0.25256958016205466,0.4299698891974494,0.5552230999072868,0.8056023826723255,1.9779875056003366,0.03400172979682755
14,v_subj(Neutral).1015,0.47995003269880726,0.40503315003268253,0.04150283598063925,0.24854798108709816,0.37242915794066134,0.5521709804153342,1.6968467602824084,0.026307155770398466
15,v_subj(Neutral).1017,0.5372700182437419,0.4209892890435041,0.05507330205813926,0.28555632158299593,0.4309730352980736,0.6418221369013226,1.7438168319310745,0.028007362206711926
16,v_subj(Neutral).1018,0.3619736422421644,0.42688821598395493,-0.05881851030431534,0.13528130493271134,0.23917028929975082,0.3986536330327899,1.7056927554444878,0.027589647013413748
17,v_subj(Neutral).1019,0.4730622138338098,0.5384194431198279,-0.12105838493375731,0.14799886387468097,0.3134686159078703,0.5701053251845324,2.00994072665962,0.037635279508737525
18,v_subj(Neutral).1020,0.8518216638579378,0.5518158658371892,0.22722181361069,0.49823181905608893,0.6686733132204951,1.011812085896633,2.3072429540578048,0.04456379812390342
19,v_subj(Neutral).1021,0.6202310915616461,0.548653726124918,-0.05554730426785277,0.26504639115348316,0.479970218859037,0.785894613761646,2.096666466870047,0.040168068353353716
20,v_subj(Neutral).1022,0.6143506220565768,0.4540991927682005,0.1273751534732629,0.33561602957035597,0.4659319406441252,0.7035667076872952,1.9241904243641,0.03462711809264444
21,v_subj(Neutral).1023,0.4132678638066898,0.5312789930655825,-0.10885878376720326,0.11035127672253753,0.24252416008727806,0.4530061755565342,1.9332521615842266,0.03847126229057203
22,v_subj(Neutral).1024,0.5446049379910968,0.5221096422636387,-0.1464705376912383,0.2270767963062923,0.4228631826719059,0.6952956951678804,2.0031560750040525,0.0334035151403896
23,v_subj(Neutral).1025,0.5109682712754531,0.5394755341101851,-0.1710732017549147,0.17127149755972804,0.37622805705390816,0.6680228591329448,1.9844719032857112,0.03630511917255561
24,v_subj(Neutral).1026,-0.1271117205590937,0.3878096026741457,-0.6712556364896214,-0.279425895794138,-0.17427249758454524,-0.07200108395345212,1.2178987552027056,0.013322350757788811
25,v_subj(Neutral).1027,0.897011207861765,0.5152279937765321,0.30481998742523997,0.5686688653248857,0.7365768344197547,1.0390204569577233,2.288848694834174,0.04061434151247979
26,v_subj(Neutral).1028,0.17318414568544996,0.4631585298160184,-0.27202059109644416,-0.06033942087438732,0.03675663091565917,0.17933214887165427,1.6623911209035842,0.029598673564383365
27,v_subj(Neutral).1030,0.6209040581370208,0.4181583313760596,0.13451218700218875,0.36517557837008274,0.5107833316494668,0.7370282985357823,1.779200287068738,0.028780443116787298
28,v_subj(Neutral).1031,0.629089703031425,0.5019828424190494,0.05211353772077165,0.32112060750977506,0.4772355151488751,0.759462092254611,1.9622545068381818,0.037041204835031094
29,v_subj(Neutral).1032,0.8686704950384476,0.5764435489410771,0.3277473467432405,0.5037822826050069,0.6308209477793034,0.9849948832699049,2.377864711750204,0.04983325069154432
30,v_subj(Neutral).1033,0.3372673015279447,0.43383679265121683,-0.06589409813643643,0.10261340239134409,0.2053716524795124,0.3595021476398707,1.7350138232695667,0.0285599291970643
31,v_subj(Neutral).1034,0.38198732575633504,0.5459547439711028,-0.32963201031748285,0.04366290253762291,0.25621516708603775,0.5309184896479214,1.9127104789572336,0.035189382796314124
32,v_subj(Neutral).1035,0.18376168039601726,0.46729170641028,-0.26961820480282195,-0.054005211884810334,0.0407640357724252,0.1793649411816356,1.606415354278357,0.029958201698861847
33,v_subj(Neutral).1036,0.9628508747633295,0.5303338961563523,0.3370985684711173,0.6109043478719135,0.7832304656646286,1.1651640609036877,2.2886742692265005,0.04467248509701824
34,v_subj(Neutral).1038,0.8175065928741151,0.5102909226672939,0.163134006459134,0.4790452947040216,0.6858864325535752,0.9980129643824034,2.162818938736434,0.03737628644272513
35,v_subj(Neutral).1040,0.6394104162030049,0.4917039183241788,-0.03845924501310427,0.32495018457046904,0.5271427164776474,0.8089799369036789,1.9764117221234843,0.0330941825065447
36,v_subj(Neutral).1042,0.4870685000903049,0.508607675856555,-0.17479626766924394,0.18177882155801128,0.38224989344386273,0.6346441467183883,1.817272337143903,0.03079355948293514
37,v_subj(Neutral).1043,0.7204797553571758,0.4522584347363699,0.1474604778057781,0.4251402445563969,0.5928369182084265,0.8796503968422489,1.9114874556018142,0.034305564772693135
38,v_subj(Neutral).1044,0.4210271527906037,0.4810449801954315,-0.10779711392506361,0.1455366396558197,0.28573068636989274,0.5013474287059074,1.8047915331860727,0.03170236205262229
39,v_subj(Neutral).1047,0.5021956452114955,0.620837503760978,-0.08136221971292446,0.117408045448834,0.245403583578214,0.6421308316483443,2.1631493666575246,0.05378092675174364
40,v_subj(Neutral).1048,0.22062562939845862,0.4183386367676705,-0.20956367129670217,0.006017020339323345,0.1084008263735442,0.2450745095750499,1.5211865885431701,0.02564398801145784
41,v_subj(Neutral).1050,0.3886519166737656,0.4040749602038121,-0.0339032628285883,0.167728322120014,0.2745497300880052,0.44020590680187077,1.6508876000040753,0.026332953338333482
42,v_subj(Neutral).1051,0.19079179527618492,0.5430810900898992,-0.344388377178376,-0.11269541226938756,0.01619108932502017,0.21535272741567435,1.807708689691562,0.038256068791868054
43,v_subj(Neutral).1052,0.34755670138840494,0.45371308574129543,-0.0760781577189954,0.10287198726839258,0.20692277218843164,0.37097679912297954,1.7798348693337505,0.031208790863775832
44,v_subj(Neutral).1053,0.45161983645471626,0.5426908040036413,-0.2512230505995924,0.11842994064954337,0.3271149906344626,0.6052766967044527,1.9643648400985396,0.03596854917339147
45,v_subj(Neutral).1054,0.26250761533619166,0.5107612367138196,-0.28676004272570665,-0.016220551907623393,0.10822547386366249,0.29272937854760694,1.7913405513369907,0.034567338432679305
46,v_subj(Neutral).1056,0.30331168417438914,0.4530163321612001,-0.12460350514197782,0.06296330474723888,0.16656735525648214,0.3233293822672953,1.7219220194664722,0.029426664213397624
47,v_subj(Neutral).1057,0.346926807305421,0.5296975413464885,-0.3417376326669823,0.027877032204921992,0.22201377412894452,0.4819560083490133,1.8287406918190752,0.03255959675833451
48,v_subj(Neutral).1058,0.8385292528118767,0.633570913939828,0.23367038788804345,0.4351424506724044,0.5686589565112773,1.0644519027758321,2.469118342622706,0.056117902669320055
49,v_subj(Neutral).1060,0.34991632110303106,0.3892113961742964,-0.030725572230180687,0.14461220589390766,0.24637582832613436,0.38616228064371433,1.580987914722877,0.02349397210202194
50,v_subj(Neutral).1061,0.5601975390549094,0.4361438590304751,-0.0043190196374753576,0.29788161369794874,0.45160430399227836,0.6911584816262037,1.8005984283501586,0.02815230239045376
51,v_subj(Neutral).1063,0.6214677169920835,0.5200516440558393,0.11810147467684629,0.30479623352416313,0.42704166799371024,0.7041306829052665,2.076864373690394,0.042187643705730686
