,parameters,mean,50q
0,v(Neutral),0.30498705579646496,0.30221869779397625
1,v(Stressed),0.4270312211838915,0.4263318113989498
2,v_std,0.2799486710387976,0.27857255476066
3,v_subj(Neutral).1001,0.2493787561383834,0.24411165804329527
4,v_subj(Neutral).1002,-0.0778145300807125,-0.07733030634755444
5,v_subj(Neutral).1003,-0.16808471411329234,-0.16823764993044016
6,v_subj(Neutral).1004,0.25901203421870994,0.24911452097274212
7,v_subj(Neutral).1005,0.015807396955132978,0.010965138209459047
8,v_subj(Neutral).1006,0.2453242369280659,0.23995855466213034
9,v_subj(Neutral).1007,0.46228173327518074,0.4588205469377006
10,v_subj(Neutral).1009,0.25729296313515376,0.24992640543858535
11,v_subj(Neutral).1011,0.1545833040252207,0.15232124178361367
12,v_subj(Neutral).1012,0.06909130232113013,0.06748476081484345
13,v_subj(Neutral).1013,0.4672786263213095,0.45707100434426295
14,v_subj(Neutral).1015,0.3106298479218988,0.3049617063318742
15,v_subj(Neutral).1017,0.3591867951772432,0.35091920454184883
16,v_subj(Neutral).1018,0.1894211227849687,0.18566742133941405
17,v_subj(Neutral).1019,0.2345628287777726,0.23042583498093316
18,v_subj(Neutral).1020,0.5566044056593067,0.5525074845185443
19,v_subj(Neutral).1021,0.370454768842056,0.3665187957674836
20,v_subj(Neutral).1022,0.3912202687462547,0.3819645530012483
21,v_subj(Neutral).1023,0.1793032453598118,0.17359832559520627
22,v_subj(Neutral).1024,0.34011710433592296,0.3332377224744695
23,v_subj(Neutral).1025,0.2755839195270016,0.27958662974934156
24,v_subj(Neutral).1026,-0.16704045173536092,-0.1664309909343565
25,v_subj(Neutral).1027,0.6218351766026821,0.619126479904099
26,v_subj(Neutral).1028,0.008157008827165569,0.005511166755022834
27,v_subj(Neutral).1030,0.4323668387415205,0.42270886083190623
28,v_subj(Neutral).1031,0.3772306556943695,0.3744784937213995
29,v_subj(Neutral).1032,0.5315900206644202,0.5201065009682646
30,v_subj(Neutral).1033,0.16608561680431247,0.1583977086078332
31,v_subj(Neutral).1034,0.17497578101773828,0.1706771310921893
32,v_subj(Neutral).1035,0.013603832763988301,0.010709434096183856
33,v_subj(Neutral).1036,0.6626512901439596,0.656188898206778
34,v_subj(Neutral).1038,0.5744435677221172,0.5674925362011844
35,v_subj(Neutral).1040,0.42789380331788834,0.4277036441224865
36,v_subj(Neutral).1042,0.2944236409546276,0.29113483397092926
37,v_subj(Neutral).1043,0.49174572744828826,0.48688267807702235
38,v_subj(Neutral).1044,0.2253392868308966,0.21408818100515137
39,v_subj(Neutral).1047,0.16184338794524383,0.16253551246336323
40,v_subj(Neutral).1048,0.07305505929492741,0.07054568119663968
41,v_subj(Neutral).1050,0.22382003880103843,0.21533579689567622
42,v_subj(Neutral).1051,-0.03633332856847256,-0.04101765908813565
43,v_subj(Neutral).1052,0.15780441518701196,0.15247887948820882
44,v_subj(Neutral).1053,0.2354308188700567,0.23497705604066954
45,v_subj(Neutral).1054,0.057877881391655936,0.0526130123582447
46,v_subj(Neutral).1056,0.12572809674157906,0.11564411138685504
47,v_subj(Neutral).1057,0.15606374131865655,0.1578659710103778
48,v_subj(Neutral).1058,0.47233670816726536,0.46817710531070356
49,v_subj(Neutral).1060,0.20239115850281025,0.19572118397103044
50,v_subj(Neutral).1061,0.3819976271143353,0.37170268531574807
51,v_subj(Neutral).1063,0.34653887219650004,0.33883238338400146
52,v_subj(Neutral).1065,-0.019649239224660726,-0.02170476966567103
53,v_subj(Neutral).1066,0.5015164500970685,0.49709824396506785
54,v_subj(Neutral).1067,0.18237562466918622,0.17544335167099703
55,v_subj(Neutral).1069,0.6720076660103492,0.6707341829778733
56,v_subj(Neutral).1070,0.5106427594514186,0.5079896749988434
57,v_subj(Neutral).1071,0.4617956743932682,0.46044926484714366
58,v_subj(Neutral).1072,0.24850475059241003,0.23928537640824965
59,v_subj(Neutral).1073,0.11231195949713545,0.10988605112726957
60,v_subj(Neutral).1074,0.1056916202389116,0.10245814432808326
61,v_subj(Neutral).1076,0.36619405125403154,0.3600054693894157
62,v_subj(Neutral).1077,0.4394720983723079,0.43555441270618234
63,v_subj(Neutral).1078,0.6384379983536884,0.6344581447865425
64,v_subj(Neutral).1079,0.5125101325384943,0.5056200726287418
65,v_subj(Neutral).1080,0.19212836495998475,0.19440169030126953
66,v_subj(Neutral).1081,-0.007280214213882038,-0.004642578431356625
67,v_subj(Neutral).1083,0.38553526108836583,0.3809022268889881
68,v_subj(Neutral).1084,0.46546013947076625,0.46349823480846675
69,v_subj(Neutral).1087,0.4921646422803927,0.4820766523342155
70,v_subj(Neutral).1088,0.096450747636474,0.09160280533388085
