,parameters,mean,50q
0,v(Neutral),0.5247204016358432,0.34099927931515256
1,v(Stressed),0.646520827580936,0.4666726876915695
2,v_std,0.40398396791415525,0.3061221235025161
3,v_subj(Neutral).1001,0.4705218037107926,0.3307567204159083
4,v_subj(Neutral).1002,0.049605843942064194,-0.06609190102154447
5,v_subj(Neutral).1003,-0.06962158284456463,-0.16163644442707054
6,v_subj(Neutral).1004,0.4862083858754815,0.32009816410101705
7,v_subj(Neutral).1005,0.18253604578884286,0.039139880405393984
8,v_subj(Neutral).1006,0.4910997542785164,0.31087753903714893
9,v_subj(Neutral).1007,0.7573327266120686,0.5580776836051589
10,v_subj(Neutral).1009,0.5403218604221653,0.3299663994365
11,v_subj(Neutral).1011,0.3238941807622453,0.1973719086382003
12,v_subj(Neutral).1012,0.22339853642833354,0.09898385291193734
13,v_subj(Neutral).1013,0.6979088964471809,0.5552230999072868
14,v_subj(Neutral).1015,0.47995003269880726,0.37242915794066134
15,v_subj(Neutral).1017,0.5372700182437419,0.4309730352980736
16,v_subj(Neutral).1018,0.3619736422421644,0.23917028929975082
17,v_subj(Neutral).1019,0.4730622138338098,0.3134686159078703
18,v_subj(Neutral).1020,0.8518216638579378,0.6686733132204951
19,v_subj(Neutral).1021,0.6202310915616461,0.479970218859037
20,v_subj(Neutral).1022,0.6143506220565768,0.4659319406441252
21,v_subj(Neutral).1023,0.4132678638066898,0.24252416008727806
22,v_subj(Neutral).1024,0.5446049379910968,0.4228631826719059
23,v_subj(Neutral).1025,0.5109682712754531,0.37622805705390816
24,v_subj(Neutral).1026,-0.1271117205590937,-0.17427249758454524
25,v_subj(Neutral).1027,0.897011207861765,0.7365768344197547
26,v_subj(Neutral).1028,0.17318414568544996,0.03675663091565917
27,v_subj(Neutral).1030,0.6209040581370208,0.5107833316494668
28,v_subj(Neutral).1031,0.629089703031425,0.4772355151488751
29,v_subj(Neutral).1032,0.8686704950384476,0.6308209477793034
30,v_subj(Neutral).1033,0.3372673015279447,0.2053716524795124
31,v_subj(Neutral).1034,0.38198732575633504,0.25621516708603775
32,v_subj(Neutral).1035,0.18376168039601726,0.0407640357724252
33,v_subj(Neutral).1036,0.9628508747633295,0.7832304656646286
34,v_subj(Neutral).1038,0.8175065928741151,0.6858864325535752
35,v_subj(Neutral).1040,0.6394104162030049,0.5271427164776474
36,v_subj(Neutral).1042,0.4870685000903049,0.38224989344386273
37,v_subj(Neutral).1043,0.7204797553571758,0.5928369182084265
38,v_subj(Neutral).1044,0.4210271527906037,0.28573068636989274
39,v_subj(Neutral).1047,0.5021956452114955,0.245403583578214
40,v_subj(Neutral).1048,0.22062562939845862,0.1084008263735442
41,v_subj(Neutral).1050,0.3886519166737656,0.2745497300880052
42,v_subj(Neutral).1051,0.19079179527618492,0.01619108932502017
43,v_subj(Neutral).1052,0.34755670138840494,0.20692277218843164
44,v_subj(Neutral).1053,0.45161983645471626,0.3271149906344626
45,v_subj(Neutral).1054,0.26250761533619166,0.10822547386366249
46,v_subj(Neutral).1056,0.30331168417438914,0.16656735525648214
47,v_subj(Neutral).1057,0.346926807305421,0.22201377412894452
48,v_subj(Neutral).1058,0.8385292528118767,0.5686589565112773
49,v_subj(Neutral).1060,0.34991632110303106,0.24637582832613436
50,v_subj(Neutral).1061,0.5601975390549094,0.45160430399227836
51,v_subj(Neutral).1063,0.6214677169920835,0.42704166799371024
52,v_subj(Neutral).1065,0.11872666847981807,-0.0017570451884191263
53,v_subj(Neutral).1066,0.7337476676408872,0.6088437070868219
54,v_subj(Neutral).1067,0.3520643539042612,0.21648638020590394
55,v_subj(Neutral).1069,0.9704697623554344,0.8206853620771678
56,v_subj(Neutral).1070,0.723362897791502,0.609694799863759
57,v_subj(Neutral).1071,0.7016413207341272,0.5634136974061701
58,v_subj(Neutral).1072,0.3755615781819744,0.2850283929899332
59,v_subj(Neutral).1073,0.29438494718570274,0.15307521927836676
60,v_subj(Neutral).1074,0.24928376604974967,0.1355969829238156
61,v_subj(Neutral).1076,0.6075961859079978,0.4515408449526205
62,v_subj(Neutral).1077,0.6884991687135001,0.5340912350572642
63,v_subj(Neutral).1078,0.934054546669375,0.7503580033448505
64,v_subj(Neutral).1079,0.7792651996538996,0.6003788180418522
65,v_subj(Neutral).1080,0.39290344335478117,0.2786123112203214
66,v_subj(Neutral).1081,0.19870109788593449,0.022640060827160108
67,v_subj(Neutral).1083,0.5792719997204344,0.46883598443396246
68,v_subj(Neutral).1084,0.7188152714114667,0.5854234635872505
69,v_subj(Neutral).1087,0.7507004227818789,0.6096854197212764
70,v_subj(Neutral).1088,0.27829861135284145,0.1380254804269867
71,v_subj(Neutral).1091,0.6059025824912603,0.4970892742730779
72,v_subj(Neutral).1092,0.7628193598975072,0.6204942126697001
73,v_subj(Neutral).1093,0.6765402898329648,0.5720945400419033
74,v_subj(Neutral).1096,0.05300335800564589,-0.11632800588996023
75,v_subj(Neutral).1097,0.5575121424820403,0.41741748902802844
76,v_subj(Neutral).1099,0.47663217360301285,0.3931083602291787
77,v_subj(Neutral).1100,0.4426452627680738,0.27119776162295905
78,v_subj(Neutral).1101,0.27140708166849903,0.13020594465263036
79,v_subj(Neutral).1102,0.40325925408683316,0.26852302612719203
