,parameters,mean,std,2.5q,25q,50q,75q,97.5q,mc err
0,v(BPD.1.Neutral),0.3026776956843056,0.18603336959786657,0.07211312070513756,0.19813000594360272,0.27175291422016756,0.3552323151283208,0.8013213716572887,0.014989295978287132
1,v(BPD.1.Stressed),0.4003341131929892,0.11274419410544122,0.19889847367064314,0.3240716566768586,0.3945038986080334,0.4659723698128516,0.6417565133536293,0.005754416559701358
2,v(BPD.2.Neutral),0.33213160484498666,0.13547387348342277,0.12260575072036968,0.2476161429178294,0.3153688356776388,0.3903816768758671,0.6944833970444657,0.009316590477546016
3,v(BPD.2.Stressed),0.5586276134630037,0.12300738357900887,0.35156962521539076,0.4787633762711991,0.5475925136280163,0.6193718143854525,0.8595685463698245,0.007494133089388097
4,v(No BPD.1.Neutral),0.28067026867708167,0.04761386694120765,0.19709423391716743,0.25071969751192835,0.2772022844614074,0.3062061976251965,0.38856716533838226,0.00277689075553287
5,v(No BPD.1.Stressed),0.36328324175587934,0.04775866714399446,0.28037346285308806,0.3323478554843549,0.358821254020785,0.390270239059005,0.4710005782698061,0.0026282773214591623
6,v(No BPD.2.Neutral),0.24399655805879092,0.0468215142936707,0.16182552252322596,0.21360912382794103,0.24204414410052108,0.2700035022080194,0.34517494733956966,0.00255132742112467
7,v(No BPD.2.Stressed),0.40717384946487134,0.04923720573629038,0.32352974512396115,0.3752757825591658,0.4046646848151823,0.43388950142452704,0.5215159852719358,0.0028448848100146367
8,v_std,0.25909616619304554,0.024339553249642803,0.2236009038939032,0.24416116150566597,0.25534177760442867,0.2694582314363549,0.31950577983543793,0.0019122046915870813
9,v_subj(BPD.1.Neutral).1011,0.1710127977660175,0.19332996991632248,-0.07062518878422486,0.06962859814792866,0.14692081768826468,0.22489714204914757,0.6233263043148334,0.013429442265201218
10,v_subj(BPD.1.Neutral).1019,0.24246516881116129,0.26255167129335916,-0.14214350826099653,0.084424886216238,0.21192599938947665,0.34926555068908316,0.8639761148971288,0.017133966805249066
11,v_subj(BPD.1.Neutral).1110,0.5716687861078937,0.25603878116977047,0.12207884518798506,0.40208007663944795,0.560333057663219,0.7161876067272314,1.1212792923544361,0.01344500522745401
12,v_subj(BPD.1.Neutral).1130,0.2081559667118725,0.28536821858751144,-0.26187747428609187,0.02920417828393229,0.17841757230197597,0.353750822993637,0.8599939570749591,0.01684943785098902
13,v_subj(BPD.1.Neutral).1151,0.34610539945113017,0.235827734522731,-0.02811281255034148,0.20448175729212492,0.32011606892245237,0.4485786392715912,0.9154252468417272,0.014357731380594537
14,v_subj(BPD.1.Neutral).1155,0.4355118878720455,0.22697978818314593,0.057298270367682536,0.2929398708353558,0.41077779880131493,0.5452351336043467,0.9819154824247159,0.013347667664396634
15,v_subj(BPD.1.Neutral).1160,0.24566746106253942,0.2882893481542769,-0.23235596209222076,0.06507937108541045,0.22190033748951932,0.3849793548399405,0.8861074099150306,0.01685941928008953
16,v_subj(BPD.1.Neutral).1169,0.3421855142222941,0.2735228632936961,-0.11978912576725032,0.16291026696941058,0.3201364024625479,0.4847527487944483,0.9307769888826911,0.013898584012061201
17,v_subj(BPD.1.Neutral).1172,-0.01609435928579662,0.23248546988568686,-0.2714149095594855,-0.13083210127377107,-0.056280155310205776,0.028467462790498332,0.7129589148332083,0.017950481191017425
18,v_subj(BPD.1.Neutral).1184,0.5793975433420331,0.19003000867815856,0.3379104658917696,0.4741457962432029,0.5495158160211043,0.6369714204762867,1.1107218928160016,0.014203974187468656
19,v_subj(BPD.1.Neutral).1203,0.35401350859294933,0.22788675908122508,0.05563384106220548,0.22298627058221893,0.3197818654590463,0.42161375223481895,0.9450104997492771,0.01680916562924158
20,v_subj(BPD.1.Neutral).1247,0.15631825472424815,0.1998997145431182,-0.08211247336762273,0.05143239834590774,0.125457080023479,0.20346788955348744,0.7477089353455839,0.014781441443137335
21,v_subj(BPD.1.Stressed).1011,0.018943476826926948,0.10560192071015884,-0.1893163211854248,-0.053739464961426286,0.020840605405174184,0.08650467530836792,0.22525649479212861,0.0022308373555464285
22,v_subj(BPD.1.Stressed).1019,0.03451948572204225,0.14786595853786386,-0.23078231366631674,-0.05914390508124179,0.02877970420520659,0.11603487983928534,0.3447891817801584,0.0046883660451894175
23,v_subj(BPD.1.Stressed).1110,0.6672028741239239,0.2263854669834474,0.2410222354250518,0.5145022113496043,0.6591055726556773,0.8039752795876398,1.1413267073968785,0.008003530104014603
24,v_subj(BPD.1.Stressed).1130,0.4815355085344864,0.2274112375442249,0.05445741698415785,0.3337095002045428,0.47094029634505197,0.620101053806076,0.9663637385265895,0.007974863169774405
25,v_subj(BPD.1.Stressed).1151,0.667358682857368,0.21344363980549177,0.2705304722781847,0.521195083294419,0.6630149920216888,0.806025833156367,1.1071957557348173,0.008034456247365367
26,v_subj(BPD.1.Stressed).1155,0.35546350660228637,0.21576483219854656,-0.040031071717562594,0.21194888761587916,0.34903068281770533,0.49067763665446595,0.7946022667198858,0.0077224525469335335
27,v_subj(BPD.1.Stressed).1160,0.32019473872668486,0.22380340620238592,-0.08684720022053372,0.16410292447871888,0.31485064532678114,0.4592781981450891,0.7749038452067942,0.007798724366779257
